['177', '321', '133', '212', '190', '242', '369', '204', '230', '294', '205', '314', '1', '2', '201', '41', '286', '145', '213', '143', '233', '113', '10', '7', '92', '322', '158', '273', '214', '304', '355', '336', '52', '8', '253', '185', '234', '51', '94', '360']
['320', '285', '194', '182', '27', '56', '103', '371', '157', '347', '350', '3', '270', '21', '144', '374', '307', '305', '316', '196', '292', '289', '249', '192', '6', '251', '278', '317', '118', '50', '152', '193', '293', '82', '250', '74', '395', '340', '140', '263']
['28', '370', '308', '375', '146', '346', '25', '186', '44', '43', '84', '363', '353', '76', '272', '260', '148', '171', '64', '63', '223', '131', '349', '167', '279', '271', '138', '332', '368', '379', '161', '303', '172', '104', '150', '57', '358', '136', '139', '105']
['357', '37', '290', '282', '377', '36', '91', '166', '302', '331', '134', '40', '398', '259', '381', '119', '397', '163', '195', '306', '106', '329', '252', '55', '262', '31', '298', '30', '59', '231', '127', '354', '117', '227', '65', '151', '47', '367', '392', '18']
['69', '13', '337', '175', '88', '276', '244', '265', '389', '191', '366', '58', '22', '96', '274', '228', '284', '352', '333', '160', '376', '116', '23', '280', '198', '299', '202', '100', '72', '49', '62', '208', '156', '197', '364', '390', '391', '378', '114', '180']
['154', '98', '33', '247', '174', '203', '153', '362', '9', '101', '200', '226', '90', '15', '112', '81', '181', '319', '128', '67', '399', '300', '240', '211', '155', '168', '184', '380', '217', '61', '53', '312', '209', '66', '48', '80', '159', '60', '327', '126']
['277', '269', '328', '16', '266', '120', '86', '301', '178', '189', '323', '45', '255', '388', '42', '137', '219', '99', '268', '162', '330', '221', '382', '169', '239', '275', '232', '199', '29', '229', '236', '386', '207', '124', '218', '35', '68', '257', '0', '77']
['241', '309', '297', '215', '78', '351', '216', '235', '348', '122', '109', '283', '291', '335', '170', '147', '313', '95', '32', '12', '220', '396', '188', '125', '110', '258', '121', '70', '26', '246', '261', '325', '149', '34', '132', '295', '365', '14', '20', '115']
['338', '206', '5', '129', '24', '79', '243', '345', '173', '385', '141', '102', '387', '237', '245', '311', '87', '372', '326', '176', '343', '179', '108', '38', '83', '164', '254', '344', '97', '315', '85', '19', '383', '394', '248', '318', '107', '73', '111', '142']
['11', '222', '93', '17', '287', '54', '238', '339', '288', '123', '135', '373', '310', '224', '89', '4', '71', '39', '264', '324', '267', '187', '356', '210', '393', '334', '341', '130', '183', '361', '46', '225', '384', '296', '281', '256', '342', '359', '75', '165']
